Id,SalePrice
1461,125675.12
1462,151384.45
1463,176793.86
1464,181988.88
1465,196388.98
1466,178549.6
1467,172480.58
1468,165494.48
1469,184789.8
1470,120364.484
1471,197676.62
1472,95264.87
1473,115011.89
1474,148506.9
1475,141651.22
1476,351902.6
1477,256760.62
1478,302199.6
1479,274180.34
1480,538711.25
1481,282049.84
1482,212976.23
1483,174475.02
1484,177468.34
1485,179980.08
1486,198553.19
1487,315287.25
1488,241779.02
1489,216781.5
1490,193290.08
1491,194141.47
1492,96711.83
1493,172527.69
1494,295051.2
1495,279415.12
1496,216142.92
1497,178072.05
1498,163819.45
1499,163976.64
1500,161879.48
1501,171067.3
1502,162960.66
1503,236515.22
1504,234355.38
1505,214405.4
1506,188432.02
1507,246752.58
1508,199923.78
1509,164118.86
1510,149634.31
1511,148068.12
1512,185638.36
1513,141077.83
1514,149812.3
1515,197948.5
1516,140982.92
1517,155196.84
1518,130168.72
1519,215187.47
1520,148170.52
1521,148043.8
1522,173132.86
1523,110817.29
1524,129302.88
1525,128184.16
1526,120304.03
1527,89838.46
1528,127763.17
1529,151273.95
1530,175223.48
1531,113869.4
1532,127549.445
1533,137618.03
1534,115753.016
1535,162530.55
1536,113861.22
1537,76757.01
1538,186948.94
1539,273087.6
1540,116047.5
1541,138471.33
1542,149893.34
1543,234552.33
1544,84381.75
1545,111351.96
1546,135145.62
1547,147602.45
1548,136796.17
1549,115814.47
1550,152247.11
1551,123685.125
1552,139822.39
1553,155528.0
1554,132125.72
1555,178807.27
1556,97229.58
1557,124582.586
1558,106221.73
1559,97275.38
1560,160353.73
1561,136323.17
1562,125810.25
1563,125903.586
1564,163890.14
1565,151892.02
1566,224041.61
1567,63185.734
1568,237003.14
1569,135512.22
1570,140405.88
1571,136796.58
1572,158178.3
1573,239516.12
1574,94818.34
1575,198163.05
1576,226903.72
1577,211448.58
1578,125478.195
1579,136631.61
1580,186464.53
1581,130681.8
1582,124981.26
1583,309191.16
1584,222207.58
1585,142550.58
1586,71133.65
1587,104385.72
1588,152983.14
1589,93447.59
1590,141983.19
1591,101638.79
1592,125781.875
1593,108601.11
1594,145289.36
1595,111254.06
1596,235144.5
1597,145111.03
1598,189885.89
1599,204828.9
1600,190347.02
1601,68187.586
1602,114730.445
1603,90863.71
1604,278236.56
1605,230896.95
1606,161569.3
1607,140398.08
1608,215533.38
1609,215893.78
1610,161145.86
1611,135861.86
1612,161799.22
1613,143813.19
1614,147628.36
1615,98931.0
1616,77708.875
1617,91558.14
1618,125814.38
1619,128064.93
1620,122639.195
1621,142200.97
1622,154723.05
1623,317984.2
1624,233371.42
1625,128407.414
1626,165118.42
1627,185741.39
1628,292585.03
1629,176455.67
1630,497993.56
1631,208911.1
1632,220350.22
1633,167971.67
1634,173103.92
1635,178652.72
1636,147727.45
1637,166821.97
1638,195212.3
1639,181731.95
1640,267312.3
1641,191373.52
1642,233848.6
1643,224986.58
1644,233272.19
1645,192801.02
1646,150084.61
1647,161308.69
1648,135095.47
1649,138099.47
1650,117769.21
1651,115172.66
1652,96861.44
1653,95642.92
1654,155107.56
1655,160229.36
1656,142439.47
1657,152001.56
1658,147223.7
1659,148768.88
1660,150529.14
1661,458810.12
1662,411447.72
1663,368628.5
