id,Calories
750000,27.332806
750001,107.74645
750002,86.26851
750003,123.62439
750004,75.490715
750005,21.41683
750006,49.26562
750007,7.11118
750008,9.517649
750009,204.81204
750010,76.72
750011,215.48605
750012,71.144356
750013,252.53133
750014,87.10135
750015,137.48935
750016,66.24096
750017,162.13742
750018,126.10502
750019,188.28543
750020,85.435295
750021,61.70769
750022,77.310104
750023,6.087634
750024,35.36659
750025,151.38173
750026,74.977295
750027,155.11215
750028,84.585304
750029,16.651215
750030,87.556435
750031,21.828836
750032,33.450443
750033,11.49617
750034,94.77372
750035,105.14155
750036,50.384674
750037,43.45327
750038,154.00061
750039,130.20676
750040,102.529526
750041,37.674446
750042,84.30102
750043,89.09887
750044,190.21205
750045,101.45932
750046,215.67416
750047,16.16427
750048,28.744051
750049,140.41107
750050,204.84752
750051,161.25359
750052,24.62763
750053,43.761738
750054,68.86626
750055,80.032425
750056,119.75468
750057,221.38423
750058,134.22816
750059,174.20181
750060,110.50868
750061,122.01043
750062,116.560135
750063,30.053455
750064,124.03966
750065,10.235574
750066,31.646215
750067,161.80066
750068,7.389634
750069,160.85435
750070,97.7343
750071,189.11203
750072,142.20123
750073,30.910206
750074,147.26314
750075,145.14722
750076,80.99385
750077,8.119904
750078,134.05322
750079,154.59225
750080,67.83062
750081,165.06134
750082,14.886978
750083,87.37127
750084,145.15984
750085,45.582867
750086,9.373912
750087,43.64021
750088,25.804674
750089,92.18476
750090,22.161428
750091,133.02135
750092,53.753143
750093,69.02634
750094,11.150362
750095,15.648667
750096,25.648083
750097,32.40852
750098,198.38063
750099,32.529472
750100,22.235456
750101,135.18932
750102,80.78366
750103,60.535313
750104,53.68021
750105,6.7347693
750106,30.549711
750107,142.98175
750108,2.3330736
750109,42.41598
750110,82.763336
750111,34.36036
750112,34.989635
750113,80.24278
750114,166.00752
750115,70.55205
750116,60.37137
750117,129.94394
750118,131.58258
750119,9.513795
750120,136.71298
750121,120.663795
750122,247.9833
750123,70.43449
750124,15.37565
750125,149.18832
750126,104.39595
750127,108.257744
750128,112.47125
750129,35.48917
750130,121.03106
750131,192.43259
750132,161.32498
750133,114.791145
750134,69.00841
750135,104.31097
750136,16.400412
750137,122.526535
750138,52.264103
750139,71.633545
750140,18.476913
750141,16.285002
750142,67.42188
750143,9.277849
750144,80.357574
750145,33.21947
750146,7.7472076
750147,5.100922
750148,69.78742
750149,77.278625
750150,6.296384
750151,70.54863
750152,10.284871
750153,57.114666
750154,159.07626
750155,28.346655
750156,148.16751
750157,74.447
750158,48.637043
750159,24.037668
750160,23.031237
750161,28.244438
750162,113.96529
750163,73.331894
750164,75.593666
750165,115.124695
750166,38.89946
750167,234.45435
750168,29.224487
750169,52.77449
750170,39.56763
750171,131.67743
750172,132.15367
750173,33.836742
750174,49.664875
750175,122.80509
750176,150.9909
750177,56.331867
750178,58.585655
750179,188.36522
750180,31.415188
750181,44.26562
750182,71.03865
750183,120.912445
750184,68.40891
750185,80.96325
750186,157.42035
750187,16.593224
750188,23.968258
750189,139.1227
750190,56.189487
750191,72.08479
750192,110.92003
750193,58.617958
750194,117.4042
750195,148.72116
750196,79.624855
750197,55.113934
750198,143.9989
750199,25.406857
750200,80.78415
750201,247.21667
750202,33.006
750203,262.06314
750204,20.514006
750205,209.56023
750206,93.42787
750207,59.03038
750208,14.372468
750209,79.33076
750210,201.86205
750211,65.94711
750212,22.088589
750213,17.675186
750214,92.36738
750215,29.676836
750216,40.69792
750217,22.696255
750218,141.41098
750219,29.491148
750220,40.338097
750221,70.40965
750222,84.68805
750223,7.0666614
750224,73.7266
750225,119.20692
750226,16.220066
750227,83.29183
750228,26.993439
750229,192.17146
750230,6.8641973
750231,7.1833677
750232,137.3803
750233,70.995705
750234,14.3251915
750235,154.25034
750236,16.613749
750237,85.40326
750238,59.56048
750239,114.74458
750240,7.693179
750241,32.242558
750242,25.071869
750243,21.089874
750244,157.04929
750245,98.06617
750246,84.9234
750247,44.078293
750248,50.12767
750249,90.749115
750250,43.035053
750251,103.612785
750252,163.06601
750253,10.742191
750254,18.898563
750255,15.034447
750256,116.04083
750257,133.7624
750258,31.569242
750259,206.07158
750260,144.05475
750261,37.393044
750262,17.372587
750263,38.38018
750264,190.91193
750265,47.364697
750266,28.059473
750267,9.057866
750268,82.72859
750269,11.25387
750270,126.88372
750271,57.565727
750272,22.050789
750273,197.48915
750274,155.00479
750275,240.70149
750276,23.30474
750277,176.91434
750278,63.74093
750279,91.63251
750280,86.09375
750281,34.820843
750282,93.744095
750283,100.17342
750284,54.21461
750285,55.51545
750286,89.47749
750287,101.826866
750288,10.369313
750289,152.25882
750290,34.70583
750291,90.26456
750292,68.192856
750293,47.762928
750294,175.7246
750295,64.13962
750296,242.39943
750297,103.393394
750298,74.41027
750299,85.358604
750300,120.22901
750301,123.95158
750302,138.16357
750303,24.095411
750304,127.99407
750305,124.364975
750306,44.67741
750307,97.108635
750308,231.23077
750309,49.53417
750310,153.36739
750311,14.544061
750312,126.42677
750313,112.77991
750314,148.08669
750315,194.52937
750316,36.86833
750317,21.564865
750318,156.70422
750319,107.533394
750320,43.153736
750321,37.354576
750322,94.30274
750323,145.8485
750324,2.9289567
750325,44.90307
750326,65.13881
750327,53.964317
750328,87.24751
750329,35.355064
750330,110.82243
750331,98.531555
750332,159.93805
750333,97.864975
750334,16.647146
750335,183.1348
750336,6.520911
750337,161.74153
750338,156.46611
750339,129.96005
750340,104.976654
750341,132.40817
750342,72.19622
750343,201.84384
750344,13.43974
750345,7.5157743
750346,55.81431
750347,88.526474
750348,86.44761
750349,86.94832
750350,8.130176
